Year;Make;Model;Category
2019;BMW;i3;Hatchback
2019;BMW;X6;SUV
2019;BMW;X6 M;SUV
2020;BMW;3 Series;Sedan
2020;BMW;7 Series;Sedan
2018;BMW;5 Series;Sedan
2019;BMW;2 Series;"Coupe; Convertible"
2019;BMW;6 Series;Sedan
2019;BMW;X4;SUV
2019;BMW;3 Series;"Sedan; Wagon"
2019;BMW;4 Series;"Convertible; Sedan; Coupe"
2018;BMW;X2;SUV
2020;BMW;X7;SUV
2019;BMW;X2;SUV
2019;BMW;M2;Coupe
2017;BMW;X4;SUV
2018;BMW;i3;Hatchback
2019;BMW;5 Series;Sedan
2018;BMW;X5 M;SUV
2019;BMW;M6;Coupe
2019;BMW;X1;SUV
2018;BMW;7 Series;Sedan
2017;BMW;4 Series;"Sedan; Coupe; Convertible"
2019;BMW;X5;SUV
2019;BMW;M5;Sedan
2017;BMW;i3;Hatchback
2020;BMW;X3;SUV
2018;BMW;6 Series;"Sedan; Convertible"
2019;BMW;i8;"Convertible; Coupe"
2018;BMW;M3;Sedan
2018;BMW;2 Series;"Coupe; Convertible"
2019;BMW;7 Series;Sedan
2017;BMW;M2;Coupe
2018;BMW;X5;SUV
2019;BMW;M4;"Coupe; Convertible"
2019;BMW;8 Series;"Coupe; Convertible"
2017;BMW;2 Series;"Convertible; Coupe"
2019;BMW;Z4;Convertible
2017;BMW;6 Series;"Coupe; Sedan; Convertible"
2019;BMW;X7;SUV
2018;BMW;X1;SUV
2018;BMW;3 Series;"Sedan; Wagon"
2017;BMW;X1;SUV
2017;BMW;X5 M;SUV
2019;BMW;X3;SUV
2018;BMW;M6;"Coupe; Convertible"
2018;BMW;4 Series;"Coupe; Sedan; Convertible"
2017;BMW;M3;Sedan
2020;BMW;X5;SUV
2018;BMW;M4;"Convertible; Coupe"
2017;BMW;M4;"Convertible; Coupe"
2018;BMW;M2;Coupe
2017;BMW;X5;SUV
2018;BMW;X4;SUV
2018;BMW;M5;Sedan
2018;BMW;X3;SUV
2018;BMW;X6;SUV
2018;BMW;X6 M;SUV
2017;BMW;3 Series;"Sedan; Wagon"
2017;BMW;5 Series;Sedan
2017;BMW;M6;"Coupe; Convertible"
2017;BMW;7 Series;Sedan
2017;BMW;X3;SUV
2017;BMW;X6;SUV
2017;BMW;i8;Coupe
2017;BMW;X6 M;SUV